iShares Core S&P 500 ETF
Fund Holdings as of,"Aug 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,148,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,796,345,468.16","0.20","1,796,345,468.16","8,307,184.00","216.24","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","1,757,991,845.12","0.20","1,757,991,845.12","4,727,818.00","371.84","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,752,427,870.29","0.20","1,752,427,870.29","4,047,271.00","432.99","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,748,365,820.00","0.20","1,748,365,820.00","13,766,660.00","127.00","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","1,743,473,571.00","0.20","1,743,473,571.00","3,861,514.00","451.50","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE","Financials","Equity","1,732,420,818.15","0.20","1,732,420,818.15","7,800,535.00","222.09","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,710,389,767.71","0.19","1,710,389,767.71","1,682,941.00","1,016.31","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","1,652,189,591.85","0.19","1,652,189,591.85","4,815,335.00","343.11","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,608,988,643.84","0.18","1,608,988,643.84","15,213,584.00","105.76","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,604,474,926.40","0.18","1,604,474,926.40","7,476,584.00","214.60","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH","Health Care","Equity","1,582,328,632.90","0.18","1,582,328,632.90","17,032,601.00","92.90","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,561,996,874.76","0.18","1,561,996,874.76","17,138,434.00","91.14","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING","Information Technology","Equity","1,538,490,989.36","0.17","1,538,490,989.36","10,454,546.00","147.16","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","1,533,494,875.25","0.17","1,533,494,875.25","19,190,275.00","79.91","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,531,998,834.75","0.17","1,531,998,834.75","8,195,575.00","186.93","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER","Health Care","Equity","1,523,178,548.45","0.17","1,523,178,548.45","4,607,455.00","330.59","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,517,391,798.66","0.17","1,517,391,798.66","22,291,638.00","68.07","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,508,867,421.30","0.17","1,508,867,421.30","5,335,835.00","282.78","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,507,203,637.80","0.17","1,507,203,637.80","2,708,265.00","556.52","United States","NYSE","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","1,499,444,761.50","0.17","1,499,444,761.50","9,162,510.00","163.65","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,477,992,609.28","0.17","1,477,992,609.28","5,395,709.00","273.92","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,452,387,967.01","0.16","1,452,387,967.01","1,604,689.00","905.09","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE","Financials","Equity","1,422,174,598.04","0.16","1,422,174,598.04","9,916,844.00","143.41","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT","Real Estate","Equity","1,412,996,981.44","0.16","1,412,996,981.44","1,316,326.00","1,073.44","United States","NASDAQ","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE","Industrials","Equity","1,410,320,284.52","0.16","1,410,320,284.52","5,341,313.00","264.04","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM","Energy","Equity","1,383,063,177.60","0.16","1,383,063,177.60","3,897,270.00","354.88","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,353,886,733.94","0.15","1,353,886,733.94","15,048,202.00","89.97","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","1,349,393,069.43","0.15","1,349,393,069.43","3,964,023.00","340.41","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,343,240,163.75","0.15","1,343,240,163.75","2,950,555.00","455.25","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP CLASS A","Financials","Equity","1,341,490,574.16","0.15","1,341,490,574.16","4,837,338.00","277.32","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","1,319,682,266.72","0.15","1,319,682,266.72","3,691,832.00","357.46","United States","NASDAQ","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","1,311,309,276.75","0.15","1,311,309,276.75","5,127,309.00","255.75","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","1,308,487,209.96","0.15","1,308,487,209.96","5,360,236.00","244.11","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","1,293,228,815.00","0.15","1,293,228,815.00","20,721,500.00","62.41","United States","NYSE","USD","1.00","USD","-"
"CMCSA","COMCAST CLASS A","Communication","Equity","1,288,868,872.70","0.15","1,288,868,872.70","47,559,737.00","27.10","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX","Industrials","Equity","1,277,669,286.96","0.14","1,277,669,286.96","24,804,296.00","51.51","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","1,277,394,941.16","0.14","1,277,394,941.16","8,313,126.00","153.66","United States","NASDAQ","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,276,065,807.70","0.14","1,276,065,807.70","3,388,565.00","376.58","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","1,267,902,777.10","0.14","1,267,902,777.10","5,352,059.00","236.90","United States","NYSE","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,265,356,610.91","0.14","1,265,356,610.91","10,406,749.00","121.59","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","1,248,828,289.11","0.14","1,248,828,289.11","6,962,303.00","179.37","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","1,243,844,557.40","0.14","1,243,844,557.40","6,431,461.00","193.40","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","1,221,945,941.10","0.14","1,221,945,941.10","3,681,669.00","331.90","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,221,312,164.48","0.14","1,221,312,164.48","7,549,216.00","161.78","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,214,140,814.83","0.14","1,214,140,814.83","1,214,140,815.00","1.00","United States","-","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1,209,377,981.58","0.14","1,209,377,981.58","2,003,011.00","603.78","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,188,162,918.40","0.13","1,188,162,918.40","4,267,520.00","278.42","United States","NASDAQ","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS CLASS A","Financials","Equity","1,183,851,761.62","0.13","1,183,851,761.62","10,561,618.00","112.09","United States","NASDAQ","USD","1.00","USD","-"
"DASH","DOORDASH CLASS A","Consumer Discretionary","Equity","1,179,570,082.00","0.13","1,179,570,082.00","5,051,692.00","233.50","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS","Energy","Equity","1,160,445,114.16","0.13","1,160,445,114.16","16,325,902.00","71.08","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","1,158,645,837.44","0.13","1,158,645,837.44","7,477,064.00","154.96","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,156,226,406.85","0.13","1,156,226,406.85","2,898,755.00","398.87","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","1,155,078,943.06","0.13","1,155,078,943.06","8,144,683.00","141.82","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,128,094,305.91","0.13","1,128,094,305.91","6,211,631.00","181.61","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CLASS A","Communication","Equity","1,115,220,874.74","0.13","1,115,220,874.74","3,591,231.00","310.54","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS","Health Care","Equity","1,111,809,830.04","0.13","1,111,809,830.04","1,333,809.00","833.56","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT","Real Estate","Equity","1,110,587,365.23","0.13","1,110,587,365.23","6,219,339.00","178.57","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","1,095,535,386.28","0.12","1,095,535,386.28","4,931,956.00","222.13","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","1,079,357,838.16","0.12","1,079,357,838.16","17,135,384.00","62.99","United States","NASDAQ","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","1,075,417,463.86","0.12","1,075,417,463.86","2,215,574.00","485.39","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","1,072,965,055.10","0.12","1,072,965,055.10","3,061,678.00","350.45","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB","Energy","Equity","1,063,537,786.21","0.12","1,063,537,786.21","19,957,549.00","53.29","United States","NYSE","USD","1.00","USD","-"
"ABNB","AIRBNB CLASS A","Consumer Discretionary","Equity","1,062,800,071.50","0.12","1,062,800,071.50","5,579,003.00","190.50","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","1,054,792,855.62","0.12","1,054,792,855.62","1,841,886.00","572.67","United States","NYSE","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","1,053,157,313.52","0.12","1,053,157,313.52","2,998,398.00","351.24","United States","NYSE","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES","Financials","Equity","1,049,411,508.96","0.12","1,049,411,508.96","2,838,856.00","369.66","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,047,842,588.10","0.12","1,047,842,588.10","9,966,165.00","105.14","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS","Information Technology","Equity","1,045,253,137.76","0.12","1,045,253,137.76","2,556,944.00","408.79","United States","NASDAQ","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL CLASS A","Consumer Discretionary","Equity","1,045,208,597.58","0.12","1,045,208,597.58","2,921,454.00","357.77","United States","NASDAQ","USD","1.00","USD","-"
