iShares Expanded Tech-Software Sector ETF
Fund Holdings as of,"Aug 25, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"136,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WK","WORKIVA CLASS A","Information Technology","Equity","18,350,242.50","0.13","18,350,242.50","246,975.00","74.30","United States","NYSE","USD","1.00","USD","-"
"TENB","TENABLE HOLDINGS","Information Technology","Equity","16,991,778.00","0.12","16,991,778.00","518,200.00","32.79","United States","NASDAQ","USD","1.00","USD","-"
"LIF","LIFE360","Information Technology","Equity","16,965,130.05","0.12","16,965,130.05","380,811.00","44.55","United States","NASDAQ","USD","1.00","USD","-"
"CLSK","CLEANSPARK","Information Technology","Equity","15,374,090.25","0.11","15,374,090.25","1,205,811.00","12.75","United States","NASDAQ","USD","1.00","USD","-"
"PEGA","PEGASYSTEMS","Information Technology","Equity","14,418,720.00","0.10","14,418,720.00","424,080.00","34.00","United States","NASDAQ","USD","1.00","USD","-"
"BRZE","BRAZE INC CLASS A","Information Technology","Equity","14,314,115.20","0.10","14,314,115.20","464,744.00","30.80","United States","NASDAQ","USD","1.00","USD","-"
"ADEA","ADEIA","Information Technology","Equity","14,060,095.37","0.10","14,060,095.37","518,249.00","27.13","United States","NASDAQ","USD","1.00","USD","-"
"SPSC","SPS COMMERCE","Information Technology","Equity","13,895,955.52","0.10","13,895,955.52","172,492.00","80.56","United States","NASDAQ","USD","1.00","USD","-"
"AGYS","AGILYSYS INC","Information Technology","Equity","13,727,061.50","0.10","13,727,061.50","119,887.00","114.50","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS","Information Technology","Equity","13,454,730.96","0.10","13,454,730.96","237,046.00","56.76","United States","NASDAQ","USD","1.00","USD","-"
"SOUN","SOUNDHOUND AI CLASS A","Information Technology","Equity","13,259,675.25","0.10","13,259,675.25","1,880,805.00","7.05","United States","NASDAQ","USD","1.00","USD","-"
"FRSH","FRESHWORKS CLASS A","Information Technology","Equity","12,810,296.10","0.09","12,810,296.10","996,135.00","12.86","United States","NASDAQ","USD","1.00","USD","-"
"TDC","TERADATA","Information Technology","Equity","12,101,700.24","0.09","12,101,700.24","442,152.00","27.37","United States","NYSE","USD","1.00","USD","-"
"KVYO","KLAVIYO SERIES A","Information Technology","Equity","11,652,977.60","0.08","11,652,977.60","662,101.00","17.60","United States","NYSE","USD","1.00","USD","-"
"FIVN","FIVE9","Information Technology","Equity","11,616,143.00","0.08","11,616,143.00","359,800.00","32.28","United States","NASDAQ","USD","1.00","USD","-"
"RAMP","LIVERAMP HOLDINGS INC","Information Technology","Equity","11,188,129.20","0.08","11,188,129.20","296,610.00","37.72","United States","NYSE","USD","1.00","USD","-"
"INTA","INTAPP","Information Technology","Equity","10,173,998.94","0.07","10,173,998.94","249,914.00","40.71","United States","NASDAQ","USD","1.00","USD","-"
"NCNO","NCINO","Information Technology","Equity","9,682,310.32","0.07","9,682,310.32","465,272.00","20.81","United States","NASDAQ","USD","1.00","USD","-"
"PRGS","PROGRESS SOFTWARE CORP","Information Technology","Equity","8,557,884.24","0.06","8,557,884.24","197,733.00","43.28","United States","NASDAQ","USD","1.00","USD","-"
"ATEN","A10 NETWORKS INC","Information Technology","Equity","8,503,011.93","0.06","8,503,011.93","338,361.00","25.13","United States","NYSE","USD","1.00","USD","-"
"AVPT","AVEPOINT CLASS A","Information Technology","Equity","8,464,197.35","0.06","8,464,197.35","647,605.00","13.07","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","8,179,818.82","0.06","8,179,818.82","8,179,819.00","1.00","United States","-","USD","1.00","USD","-"
"BLKB","BLACKBAUD","Information Technology","Equity","7,869,918.04","0.06","7,869,918.04","165,962.00","47.42","United States","NASDAQ","USD","1.00","USD","-"
"ALKT","ALKAMI TECHNOLOGY","Information Technology","Equity","7,678,568.37","0.06","7,678,568.37","381,449.00","20.13","United States","NASDAQ","USD","1.00","USD","-"
"APPN","APPIAN CORP CLASS A","Information Technology","Equity","7,403,082.78","0.05","7,403,082.78","187,041.00","39.58","United States","NASDAQ","USD","1.00","USD","-"
"BL","BLACKLINE INC","Information Technology","Equity","7,289,418.17","0.05","7,289,418.17","230,459.00","31.63","United States","NASDAQ","USD","1.00","USD","-"
"NN","NEXTNAV","Information Technology","Equity","6,677,911.53","0.05","6,677,911.53","426,159.00","15.67","United States","NASDAQ","USD","1.00","USD","-"
"LSPD","LIGHTSPEED COMMERCE","Information Technology","Equity","6,329,842.40","0.05","6,329,842.40","594,910.00","10.64","Canada","NYSE","USD","1.00","USD","-"
"AI","C3 AI INC CLASS A","Information Technology","Equity","5,970,411.92","0.04","5,970,411.92","609,848.00","9.79","United States","NYSE","USD","1.00","USD","-"
"VYX","NCR VOYIX","Information Technology","Equity","5,255,622.24","0.04","5,255,622.24","646,448.00","8.13","United States","NYSE","USD","1.00","USD","-"
"VERX","VERTEX CLASS A","Information Technology","Equity","4,797,693.68","0.03","4,797,693.68","354,859.00","13.52","United States","NASDAQ","USD","1.00","USD","-"
"PD","PAGERDUTY","Information Technology","Equity","4,486,734.00","0.03","4,486,734.00","366,264.00","12.25","United States","NYSE","USD","1.00","USD","-"
"ASAN","ASANA CLASS A","Information Technology","Equity","4,388,099.04","0.03","4,388,099.04","464,841.00","9.44","United States","NYSE","USD","1.00","USD","-"
"CXM","SPRINKLR CLASS A","Information Technology","Equity","4,044,892.95","0.03","4,044,892.95","541,485.00","7.47","United States","NYSE","USD","1.00","USD","-"
"AIP","ARTERIS INC","Information Technology","Equity","3,669,945.09","0.03","3,669,945.09","157,983.00","23.23","United States","NASDAQ","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","577,000.00","0.00","577,000.00","577,000.00","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"RTYU6","RUSSELL 2000 EMINI CME SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","3,014,400.00","20.00","3,014.40","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"IXTU6","EMINI TECHNOLOGY SELECT SECTOR SEP","Cash and/or Derivatives","Futures","0.00","0.00","5,135,620.00","14.00","3,668.30","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-697,267.09","-0.01","-697,267.09","-697,267.00","100.00","United States","-","USD","1.00","USD","-"

